title,installs_numeric,predicted_installs
Bingo Holiday: Free Bingo Games,1000000.0,3500000.0
Guardian Hunter: SuperBrawlRPG [Online],1000000.0,9340000.0
My Talking Angela,500000000.0,405000000.0
Draw Something Classic,50000000.0,21560000.0
Turbo Dismount™,50000000.0,16500000.0
Cut the Rope 2,100000000.0,46000000.0
Kick the Buddy,100000000.0,93600000.0
Dancing Ballz: Magic Dance Line Tiles Game,10000000.0,8850000.0
Infinity Loop ®,10000000.0,13560000.0
"Math Exercises for the brain, Math Riddles, Puzzle",5000000.0,2710000.0
Empires and Allies,10000000.0,13050000.0
Heroes Charge,10000000.0,12510000.0
Onnect - Pair Matching Puzzle,10000000.0,9200000.0
Solitaire,50000000.0,24880000.0
애니팡 맞고,1000000.0,6630000.0
Stack,50000000.0,29270000.0
Teen Patti by Octro - Real 3 Patti Game,50000000.0,33800000.0
4 Bilder 1 Wort,10000000.0,13460000.0
Arcane Legends MMO-Action RPG,10000000.0,11650000.0
Word Streak-Words With Friends,10000000.0,12790000.0
Slots (Golden HoYeah) - Casino Slots,10000000.0,16400000.0
Ludo All Star - Play Online Ludo Game & Board Game,10000000.0,20060000.0
World Soccer League,100000000.0,71700000.0
Masha and the Bear. Educational Games,100000000.0,22500000.0
Cookie Run: OvenBreak - Endless Running Platformer,10000000.0,31010000.0
Piano Free - Keyboard with Magic Tiles Music Games,100000000.0,36600000.0
Solitaire!,10000000.0,4110000.0
Nyan Cat: Lost In Space,10000000.0,13750000.0
BLOCK STORY,10000000.0,8910000.0
Cash Storm Casino - Free Vegas Jackpot Slots Games,1000000.0,4120000.0
Roll the Ball® - slide puzzle,100000000.0,52600000.0
Backgammon Free - Lord of the Board - Table Game,5000000.0,17980000.0
Benji Bananas Adventures,10000000.0,9940000.0
Who is? Brain Teaser & Tricky Riddles,10000000.0,35700000.0
Racing Fever: Moto,50000000.0,40260000.0
لعبة كلمة السر : الجزء الثاني,10000000.0,20100000.0
아재 능력 고사 : 아재개그와 넌센스퀴즈,1000000.0,2230000.0
4 Immagini 1 Parola,10000000.0,11920000.0
Cytus,5000000.0,12110000.0
World of Tanks Blitz PVP MMO 3D tank game for free,100000000.0,84000000.0
Gods of Olympus,1000000.0,15140000.0
SongPop 2 - Guess The Song,5000000.0,7770000.0
Narcos: Cartel Wars. Build an Empire with Strategy,10000000.0,9010000.0
Moy 2 - Virtual Pet Game,10000000.0,33250000.0
SUP Multiplayer Racing,10000000.0,21750000.0
aa,50000000.0,20300000.0
Bus Simulator : Ultimate,50000000.0,71200000.0
Winner Soccer Evolution,10000000.0,12100000.0
Beat Jumper: EDM up!,10000000.0,4630000.0
Word Search,50000000.0,10050000.0
Futurama: Worlds of Tomorrow,5000000.0,7900000.0
My Town : Bakery - Cooking & Baking Game for Kids,10000000.0,9720000.0
2048 Number puzzle game,10000000.0,55400000.0
Sudoku,10000000.0,8700000.0
Solitaire,10000000.0,4730000.0
Photo Finish Horse Racing,5000000.0,4860000.0
Traffic Rider,100000000.0,140000000.0
Word Search,10000000.0,5310000.0
Quick Hit Casino Games - Free Casino Slots Games,10000000.0,12170000.0
Cooking Diary®: Tasty Restaurant & Cafe Game,10000000.0,22600000.0
Soccer Spirits,1000000.0,7820000.0
The Battle Cats,10000000.0,14560000.0
The Secret Society - Hidden Objects Mystery,5000000.0,17970000.0
