Index,State/Union Territory,District,Crop,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
1,Andaman and Nicobar Islands,Nicobars,Rice,2010,Autumn     ,3.5,10,2.857142857
2,Andaman and Nicobar Islands,Nicobars,Rice,2011,Autumn     ,1.5,2.5,1.666666667
3,Andaman and Nicobar Islands,Nicobars,Rice,2012,Autumn     ,0.35,0.4,1.142857143
4,Andaman and Nicobar Islands,Nicobars,Rice,2013,Autumn     ,2.65,6.3,2.377358491
5,Andaman and Nicobar Islands,Nicobars,Rice,2014,Autumn     ,4.6,10.8,2.347826087
6,Andaman and Nicobar Islands,Nicobars,Rice,2015,Autumn     ,5,11.2,2.24
7,Andaman and Nicobar Islands,Nicobars,Rice,2016,Autumn     ,6.67,9.54,1.430284858
8,Andaman and Nicobar Islands,Nicobars,Rice,2017,Autumn     ,1,0.53,0.53
9,Andaman and Nicobar Islands,Nicobars,Rice,2018,Autumn     ,4.1,6.01,1.465853659
10,Andaman and Nicobar Islands,Nicobars,Rice,2019,Autumn     ,3.1,4.3,1.387096774
11,Andaman and Nicobar Islands,North and middle Andaman,Rice,2010,Autumn     ,6791,20118,2.962450302
12,Andaman and Nicobar Islands,North and middle Andaman,Rice,2011,Autumn     ,7314.05,14168.2,1.937121021
13,Andaman and Nicobar Islands,North and middle Andaman,Rice,2012,Autumn     ,7529.65,13942.7,1.851706255
14,Andaman and Nicobar Islands,North and middle Andaman,Rice,2013,Autumn     ,7685.25,15447.2,2.009980157
15,Andaman and Nicobar Islands,North and middle Andaman,Rice,2014,Autumn     ,6162.5,12644.2,2.05179716
16,Andaman and Nicobar Islands,North and middle Andaman,Rice,2015,Autumn     ,5878.9,13228,2.250080797
17,Andaman and Nicobar Islands,North and middle Andaman,Rice,2016,Autumn     ,4684.7,12082,2.579033876
18,Andaman and Nicobar Islands,North and middle Andaman,Rice,2017,Autumn     ,5099.8,10729.33,2.103872701
19,Andaman and Nicobar Islands,North and middle Andaman,Rice,2018,Autumn     ,5222.85,11055.78,2.116809788
20,Andaman and Nicobar Islands,North and middle Andaman,Rice,2019,Autumn     ,5630.47,17771.58,3.156322652
21,Andaman and Nicobar Islands,South Andamans,Rice,2010,Autumn     ,1595.5,3788,2.374177374
22,Andaman and Nicobar Islands,South Andamans,Rice,2011,Autumn     ,784.45,1813.3,2.311555867
23,Andaman and Nicobar Islands,South Andamans,Rice,2012,Autumn     ,320,390.3,1.2196875
24,Andaman and Nicobar Islands,South Andamans,Rice,2013,Autumn     ,317.3,792,2.496060511
25,Andaman and Nicobar Islands,South Andamans,Rice,2014,Autumn     ,267.5,464.3,1.735700935
26,Andaman and Nicobar Islands,South Andamans,Rice,2015,Autumn     ,216.1,438.8,2.030541416
27,Andaman and Nicobar Islands,South Andamans,Rice,2016,Autumn     ,185.1,502.18,2.713019989
28,Andaman and Nicobar Islands,South Andamans,Rice,2017,Autumn     ,239.75,500.28,2.086673618
29,Andaman and Nicobar Islands,South Andamans,Rice,2018,Autumn     ,164.16,378.57,2.306103801
30,Andaman and Nicobar Islands,South Andamans,Rice,2019,Autumn     ,67.55,205.37,3.040266469
32,Andhra Pradesh,Adilabad,Rice,2010,Rabi       ,27644,79891,2.889994212
33,Andhra Pradesh,Adilabad,Rice,2010,Total,90547,255154,2.817917767
34,Andhra Pradesh,Adilabad,Rice,2011,Kharif     ,60681,151310,2.493531748
35,Andhra Pradesh,Adilabad,Rice,2011,Rabi       ,15489,48016,3.100006456
36,Andhra Pradesh,Adilabad,Rice,2011,Total,76170,199326,2.61685703
37,Andhra Pradesh,Adilabad,Rice,2012,Kharif     ,56000,145000,2.589285714
38,Andhra Pradesh,Adilabad,Rice,2012,Rabi       ,15000,42000,2.8
39,Andhra Pradesh,Adilabad,Rice,2012,Total,71000,187000,2.633802817
40,Andhra Pradesh,Anantapur,Rice,2010,Kharif     ,34973,102007,2.916735768
41,Andhra Pradesh,Anantapur,Rice,2010,Rabi       ,24828,69394,2.794989528
42,Andhra Pradesh,Anantapur,Rice,2010,Total,59801,171401,2.866189529
43,Andhra Pradesh,Anantapur,Rice,2011,Kharif     ,37720,94531,2.506124072
44,Andhra Pradesh,Anantapur,Rice,2011,Rabi       ,10948,25542,2.333028864
45,Andhra Pradesh,Anantapur,Rice,2011,Total,48668,120073,2.467185831
46,Andhra Pradesh,Anantapur,Rice,2012,Kharif     ,22000,58000,2.636363636
47,Andhra Pradesh,Anantapur,Rice,2012,Rabi       ,7000,18000,2.571428571
48,Andhra Pradesh,Anantapur,Rice,2012,Total,29000,76000,2.620689655
49,Andhra Pradesh,Anantapur,Rice,2013,Kharif     ,28114,59377,2.112008252
50,Andhra Pradesh,Anantapur,Rice,2013,Rabi       ,12283,28558,2.325002035
51,Andhra Pradesh,Anantapur,Rice,2013,Total,40397,87935,2.176770552
52,Andhra Pradesh,Anantapur,Rice,2014,Kharif     ,22658,68155,3.007988349
53,Andhra Pradesh,Anantapur,Rice,2014,Rabi       ,6553,14377,2.193956966
54,Andhra Pradesh,Anantapur,Rice,2014,Total,29211,82532,2.825374003
55,Andhra Pradesh,Anantapur,Rice,2015,Kharif     ,20033,61012,3.045574802
56,Andhra Pradesh,Anantapur,Rice,2015,Rabi       ,13590,36639,2.69602649
57,Andhra Pradesh,Anantapur,Rice,2015,Total,33623,97651,2.904291705
58,Andhra Pradesh,Anantapur,Rice,2016,Kharif     ,17983,44138,2.454429183
59,Andhra Pradesh,Anantapur,Rice,2016,Rabi       ,4904,13293,2.710644372
60,Andhra Pradesh,Anantapur,Rice,2016,Total,22887,57431,2.50932844
61,Andhra Pradesh,Anantapur,Rice,2017,Kharif     ,12293,30831,2.50801269
62,Andhra Pradesh,Anantapur,Rice,2017,Rabi       ,18621,55528,2.982009559
63,Andhra Pradesh,Anantapur,Rice,2017,Total,30914,86359,2.79352397
64,Andhra Pradesh,Anantapur,Rice,2018,Kharif     ,21938,58673,2.67449175
65,Andhra Pradesh,Anantapur,Rice,2018,Rabi       ,9066,22629,2.49602912
66,Andhra Pradesh,Anantapur,Rice,2018,Total,31004,81302,2.622306799
67,Andhra Pradesh,Anantapur,Rice,2019,Kharif     ,18209,65726,3.609533747
68,Andhra Pradesh,Anantapur,Rice,2019,Rabi       ,14331,44922,3.134603308
