feature,importance
team1_avg_rating,0.11297458449566664
team2_avg_rating,0.09167974064253127
team2_avg_adr,0.0706445868402682
team1_kd_diff,0.060690196876235364
team2_kd_diff,0.060483451377658204
team1_avg_adr,0.04301070389171606
team1_fk,0.042183780194454866
team2_avg_hs,0.039998103669051495
team2_total_kills,0.037109090079021544
team2_fd,0.037006819360019406
team1_avg_kast,0.03574124853406218
team1_total_deaths,0.034547495442444204
team1_avg_acs,0.03246625977508331
team2_avg_kast,0.02832236550020766
team1_avg_hs,0.02782000784363078
total_eco_won,0.02516732275463703
team2_total_assists,0.0243910899004575
total_2k,0.023422310127885163
team1_total_kills,0.023047049160797545
team2_avg_acs,0.02278687375146354
total_3k,0.022678911310925635
total_1v1,0.0160043036114649
team2_total_deaths,0.015850513650436254
total_4k,0.015735031866997814
team1_fd,0.015386535687149356
team2_fk,0.010859872625971111
team1_total_assists,0.010270639372201875
total_1v2,0.007937181690858164
total_fullbuy_won,0.006423285708999996
total_5k,0.002778361344537816
total_pistol_won,0.0025822829131652673
